"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"1234","49",2012,768644,"Total","45-49","15-64"
"1235","50",2012,752093,"Total","50-54","15-64"
"1236","51",2012,726090,"Total","50-54","15-64"
"1237","52",2012,697011,"Total","50-54","15-64"
"1238","53",2012,681684,"Total","50-54","15-64"
"1239","54",2012,666643,"Total","50-54","15-64"
"1240","55",2012,642045,"Total","55-59","15-64"
"1241","56",2012,620038,"Total","55-59","15-64"
"1242","57",2012,598032,"Total","55-59","15-64"
"1243","58",2012,600224,"Total","55-59","15-64"
"1244","59",2012,593330,"Total","55-59","15-64"
"1245","60",2012,577472,"Total","60-64","15-64"
"1246","61",2012,582109,"Total","60-64","15-64"
"1247","62",2012,595184,"Total","60-64","15-64"
"1248","63",2012,611352,"Total","60-64","15-64"
"1249","64",2012,646777,"Total","60-64","15-64"
"1250","65",2012,703319,"Total","65-69","65+"
"1251","66",2012,543322,"Total","65-69","65+"
"1252","67",2012,528218,"Total","65-69","65+"
"1253","68",2012,526877,"Total","65-69","65+"
"1254","69",2012,490321,"Total","65-69","65+"
"1255","70",2012,438272,"Total","70-74","65+"
"1256","71",2012,395063,"Total","70-74","65+"
"1257","72",2012,411871,"Total","70-74","65+"
"1258","73",2012,408958,"Total","70-74","65+"
"1259","74",2012,398269,"Total","70-74","65+"
"1260","75",2012,378905,"Total","75-79","65+"
"1261","76",2012,360580,"Total","75-79","65+"
"1262","77",2012,343085,"Total","75-79","65+"
"1263","78",2012,318237,"Total","75-79","65+"
"1264","79",2012,303283,"Total","75-79","65+"
"1265","80",2012,295355,"Total","80-84","65+"
"1266","81",2012,281244,"Total","80-84","65+"
"1267","82",2012,261569,"Total","80-84","65+"
"1268","83",2012,236408,"Total","80-84","65+"
"1269","84",2012,212846,"Total","80-84","65+"
"1270","85",2012,194386,"Total","85-89","65+"
"1271","86",2012,175771,"Total","85-89","65+"
"1272","87",2012,155360,"Total","85-89","65+"
"1273","88",2012,137232,"Total","85-89","65+"
"1274","89",2012,119676,"Total","85-89","65+"
"1275",NA,2012,438081,"Total",NA,NA
"1276","0",2013,676531,"Total","0-4","0-14"
"1277","1",2013,701281,"Total","0-4","0-14"
"1278","2",2013,688777,"Total","0-4","0-14"
"1279","3",2013,678113,"Total","0-4","0-14"
"1280","4",2013,669428,"Total","0-4","0-14"
"1281","5",2013,676035,"Total","5-9","0-14"
"1282","6",2013,654334,"Total","5-9","0-14"
"1283","7",2013,641065,"Total","5-9","0-14"
"1284","8",2013,613614,"Total","5-9","0-14"
